address,evmos_address,evmos_9000-1_staked,evmos_9000-1_count
nomic10008c0p7p72vgk5fsqthx987krr9erhjwjf59j,evmos10008c0p7p72vgk5fsqthx987krr9erhjsttqvs,9500000,1
nomic1000jmj4yrv0ksvqf9ss2a4wq52pv6l5p7wyele,evmos1000jmj4yrv0ksvqf9ss2a4wq52pv6l5pqhxdkm,38000000,1
nomic1002zxzepjrcg8sa55hpl40gxxnsp3wc2snqqrc,evmos1002zxzepjrcg8sa55hpl40gxxnsp3wc2w2z526,242361453,8
nomic10034694xsa4jqh544qs5x60ura9z7x5lz2fc3v,evmos10034694xsa4jqh544qs5x60ura9z7x5luntvcw,239500000,2
nomic1004gqdxt043extrhzm3wh9m0y7wcsukml23zwt,evmos1004gqdxt043extrhzm3wh9m0y7wcsukmpnnk8f,3094899919,3
nomic1004zga4s29zvktvlfr3sm6jru4uemf3r2fusvf,evmos1004zga4s29zvktvlfr3sm6jru4uemf3r5s7y9t,292029967,1
nomic1006fs9ze3yjtr2e2xwkcz5z5kcm8ehwsm035sa,evmos1006fs9ze3yjtr2e2xwkcz5z5kcm8ehws9knqel,169622100,2
nomic10078m6mrrufx5tm93wdpmergzz4xeaml5t0v9k,evmos10078m6mrrufx5tm93wdpmergzz4xeaml2jdcv5,46010000,1
nomic1007ge38sjqqzwn33syuzw7m06exdcyhjllf9e0,evmos1007ge38sjqqzwn33syuzw7m06exdcyhjpxt3sd,47498501,1
nomic1008e36pgu2q6fmfxm9ae6kgq2z6jyqulhvvef4,evmos1008e36pgu2q6fmfxm9ae6kgq2z6jyqulf4wdqh,3409032,1
nomic1009f2dmp086crtkkz4z6fp66a93awrqecz4rr5,evmos1009f2dmp086crtkkz4z6fp66a93awrqexmhh2k,946200000,4
nomic100cjckagewqutlmlg98vlpqke7q8u4qq6vwlcp,evmos100cjckagewqutlmlg98vlpqke7q8u4qqy4vt3r,85000000,3
nomic100cy6whfvxf274kk7gesgx4m7xjjy6l2pqzgak,evmos100cy6whfvxf274kk7gesgx4m7xjjy6l2lequ55,105324753,1
nomic100dqxl0al8xe45np6fl53xfy46auuudvyc4v8f,evmos100dqxl0al8xe45np6fl53xfy46auuudv6phcwt,74654298,1
nomic100dsakcvf4n0llmup2kz5w6hy6yhhx20dpdrjm,evmos100dsakcvf4n0llmup2kz5w6hy6yhhx20nc0hme,50163282,1
nomic100e8cx3sa86z9t5pj54sx452ut34flkl2a0xfp,evmos100e8cx3sa86z9t5pj54sx452ut34flkl5ydjqr,51000000,1
nomic100et8lvdj8nyklef5gxmpsyu88p5mkqqkemhw0,evmos100et8lvdj8nyklef5gxmpsyu88p5mkqqgqer8d,51300000,1
nomic100fken90pq3mztf94eaa4ehft707ptsfeaq88p,evmos100fken90pq3mztf94eaa4ehft707ptsf8yznwr,1284250021,6
nomic100j2fvwed0lrmc20ngu2jhhnqas5kjplrdqv2g,evmos100j2fvwed0lrmc20ngu2jhhnqas5kjpla5zcr2,250000000,1
nomic100l2j2yca4v2eh5l7ltfq9fnt7z0fn7z2x4q0a,evmos100l2j2yca4v2eh5l7ltfq9fnt7z0fn7z5lh5xl,77819300,6
nomic100lse0j6gvt300vlpjeww97wf4v5qpquwgc5xf,evmos100lse0j6gvt300vlpjeww97wf4v5qpqus36q0t,62963754,2
nomic100lwjyvnm80j4s9layqer4q0y0rh8srq7kxdwd,evmos100lwjyvnm80j4s9layqer4q0y0rh8srqq0ye80,6429330000,1
nomic100muhef23ansd0syvwd8llykjxa5nh6qsfdtce,evmos100muhef23ansd0syvwd8llykjxa5nh6qws0l3m,6801000,1
nomic100n23zfw6ckwcwkkxeumeg3kcpg5p2cfv3vwap,evmos100n23zfw6ckwcwkkxeumeg3kcpg5p2cfjgw65r,24445358,1
nomic100naednt8ty3fvafjputxps7pmkk88grz2n2sp,evmos100naednt8ty3fvafjputxps7pmkk88grun37er,29342590,1
nomic100nt32ka7ell4yqnja35nagnpw6qqn7hglhrc2,evmos100nt32ka7ell4yqnja35nagnpw6qqn7hkx4h3g,200170000,1
nomic100nv5k0el4sq8hyd279yrn3yh8l5zdusk3m6zh,evmos100nv5k0el4sq8hyd279yrn3yh8l5zdusggewt4,4800000,1
nomic100qvatllcterytc8cvzcl77v97nu9tmav39qzn,evmos100qvatllcterytc8cvzcl77v97nu9tmajg85t3,140973787,1
nomic100tlff43d947gr0kh6qsgu7t3fryjxdy7gcstt,evmos100tlff43d947gr0kh6qsgu7t3fryjxdyq36yzf,100502502,1
nomic100ts7j8w68d28xht4cygwsd49al5mrn4mqky2h,evmos100ts7j8w68d28xht4cygwsd49al5mrn49e5sr4,649100000,2
nomic100umc5l3ke6r3desptwd062qylxvx8melngfch,evmos100umc5l3ke6r3desptwd062qylxvx8mep22a34,121084022,1
nomic100vadyfsq75a84dk59ug9pkz4u2c7qtrfu53dm,evmos100vadyfsq75a84dk59ug9pkz4u2c7qtrh9k9ye,3116574,1
nomic100ve5w7j8e8ehwu2u0h4v5euml643agsal4add,evmos100ve5w7j8e8ehwu2u0h4v5euml643agsrxhfy0,5100000,1
nomic100ws2tk6yenqe0q8l8f2d0a4nxz2naqxq5rlt0,evmos100ws2tk6yenqe0q8l8f2d0a4nxz2naqx7dptzd,195457000,2
nomic100x0cnfp4syhkwlk8spgkd9y8l70u709v7m0l5,evmos100x0cnfp4syhkwlk8spgkd9y8l70u709j8emkk,135000000,1
nomic100xjcc0xnx82rc3zel85ektzlu79u97wzltdt0,evmos100xjcc0xnx82rc3zel85ektzlu79u97wuxfezd,2000000,1
nomic100xjn84v5cn887pcmm3ms8mjjj3g6dfdpzglk6,evmos100xjn84v5cn887pcmm3ms8mjjj3g6dfdlm2tlc,119000000,1
nomic100xlwe556cc0xtxp2efqm982swv0j3t34rsvwk,evmos100xlwe556cc0xtxp2efqm982swv0j3t3t6jc85,52500000,2
nomic100xs3c2c3fa438x5dz8waq7wht3z4h9nn206nm,evmos100xs3c2c3fa438x5dz8waq7wht3z4h9ndndw6e,101000000,1
nomic100y3dkn07tj8zt7z40cvjtp6q0tunszwn5m0f3,evmos100y3dkn07tj8zt7z40cvjtp6q0tunszwddemqn,3142479942,2
nomic100yfhytd3k7w6wpcaq4rc80xlqyds0te6yjt74,evmos100yfhytd3k7w6wpcaq4rc80xlqyds0teyaslhh,27387499,2
nomic100znc0dxxj4anwyr305lj4c7zknh3w5c8weg5q,evmos100znc0dxxj4anwyr305lj4c7zknh3w5cehmuaz,67000000,1
nomic1020qtgd8zv4a6cdgpjklcr3tfmkjt0re2jfrna,evmos1020qtgd8zv4a6cdgpjklcr3tfmkjt0re5tth6l,150000000,3
nomic10238fqqevsgqnv2hp4c7t0aeqkyy60vjuqj26m,evmos10238fqqevsgqnv2hp4c7t0aeqkyy60vjzes7ne,51900000,1
nomic1023svc9ujezuttzccnzfeuqdgj6r9up25y5fnp,evmos1023svc9ujezuttzccnzfeuqdgj6r9up22aka6r,10000000,1
nomic1024rhdakf0fhjdkg2fukgfk028npltdrzzmxr2,evmos1024rhdakf0fhjdkg2fukgfk028npltdrumej2g,172089406,7
nomic10252raua0ueve3f7jtvpyuth58ckk57u2n4e82,evmos10252raua0ueve3f7jtvpyuth58ckk57u52hdwg,3956635,2
nomic1025720evrvyjzhkzz832gfjdleam6ydl2fxtj3,evmos1025720evrvyjzhkzz832gfjdleam6ydl5sylmn,184324016,1
nomic1025unpwnhdrgw6nsy3cqu4agecpjaaqsr8pl83,evmos1025unpwnhdrgw6nsy3cqu4agecpjaaqsa7rtwn,200003659,2
nomic1027942uz2ew9drc6mdlruvw5vucsl9vmh2gzk9,evmos1027942uz2ew9drc6mdlruvw5vucsl9vmfn2kl8,121000000,1
nomic1027hda669gjr45d9drru5ad6k2hgwrme5zmk5y,evmos1027hda669gjr45d9drru5ad6k2hgwrme2mezax,241940062,1
nomic1027hgqujma905rcdrzn4hs7kc6gzr6jax3q673,evmos1027hgqujma905rcdrzn4hs7kc6gzr6jacgzwhn,5721279893,1
nomic1027zw6fnuf4lzf27c7c5pnjlkr8axzu6yk2hzt,evmos1027zw6fnuf4lzf27c7c5pnjlkr8axzu660grtf,79100000,1
nomic1029gzfd6sfjwf08adac9c2staam6n7z9tmhk5e,evmos1029gzfd6sfjwf08adac9c2staam6n7z94z4zam,45520965,1
nomic102a6juf8mey0qh297ducamvf7u0uc5keyjfqy7,evmos102a6juf8mey0qh297ducamvf7u0uc5ke6tt5du,55000000,1
nomic102caprrzxcge7tkule9r8v9v6332hc8xqk5655,evmos102caprrzxcge7tkule9r8v9v6332hc8x70kwak,215717979,1
nomic102cv5heq6spgqu3lkxwn882z7vufd2jtxeqpym,evmos102cv5heq6spgqu3lkxwn882z7vufd2jtcqz4de,162000000,4
nomic102drwp8s6lfr33qvhas6u7jpwly28glye8vyj4,evmos102drwp8s6lfr33qvhas6u7jpwly28gly87wsmh,100010000,1
nomic102dyeys2dx6yrqgpje8tc4lgggm0vyaaqx58rl,evmos102dyeys2dx6yrqgpje8tc4lgggm0vyaa7lkn2a,32000000,4
nomic102dzl73qnssjarpkua8myz23362e7ewm06dwuq,evmos102dzl73qnssjarpkua8myz23362e7ewm3r064z,25000000,2
nomic102fe9s6f5perp3fda7s4qdfrc7c4hfakahv30y,evmos102fe9s6f5perp3fda7s4qdfrc7c4hfakrww9xx,137000000,1
nomic102fh2zhalnprypgv3fdgufhznuhn6zzqhfsamm,evmos102fh2zhalnprypgv3fdgufhznuhn6zzqfsjfje,258477985,2
nomic102gahpua7sjkue2djllvad4685wfgq9s6mkg80,evmos102gahpua7sjkue2djllvad4685wfgq9syz5uwd,338890021,1
